country,beer_servings,spirit_servings,wine_servings,total_servings,total_litres_of_pure_alcohol,continent
Suriname,128,178,7,313,5.6,South_America
Swaziland,90,2,2,94,4.7,Africa
Sweden,152,60,186,398,7.2,Europe
Switzerland,185,100,280,565,10.2,Europe
Syria,5,35,16,56,1.0,Asia
Tajikistan,2,15,0,17,0.3,Asia
Thailand,99,258,1,358,6.4,Asia
Macedonia,106,27,86,219,3.9,Europe
Timor-Leste,1,1,4,6,0.1,Asia
Togo,36,2,19,57,1.3,Africa
Tonga,36,21,5,62,1.1,Oceania
Trinidad & Tobago,197,156,7,360,6.4,North_America
Tunisia,51,3,20,74,1.3,Africa
Turkey,51,22,7,80,1.4,Europe
Turkmenistan,19,71,32,122,2.2,Asia
Tuvalu,6,41,9,56,1.0,Oceania
Uganda,45,9,0,54,8.3,Africa
Ukraine,206,237,45,488,8.9,Europe
United Arab Emirates,16,135,5,156,2.8,Asia
United Kingdom,219,126,195,540,10.4,Europe
Tanzania,36,6,1,43,5.7,Africa
USA,249,158,84,491,8.7,North_America
Uruguay,115,35,220,370,6.6,South_America
Uzbekistan,25,101,8,134,2.4,Asia
Vanuatu,21,18,11,50,0.9,Oceania
Venezuela,333,100,3,436,7.7,South_America
Vietnam,111,2,1,114,2.0,Asia
Yemen,6,0,0,6,0.1,Asia
Zambia,32,19,4,55,2.5,Africa
Zimbabwe,64,18,4,86,4.7,Africa
